date,length,positive_word_count,negative_word_count
2020-10-08,2760,46,59
2020-10-09,1960,40,17
2020-10-10,5708,112,134
2020-10-11,2006,46,27
2020-10-12,4024,75,59
2020-10-13,8633,202,128
2020-10-14,5038,114,108
2020-10-15,7145,115,123
2020-10-16,7419,156,109
2020-10-17,4016,70,67
2020-10-18,3357,74,66
2020-10-19,5774,102,83
2020-10-20,8796,162,143
2020-10-21,3925,93,56
2020-10-22,1330,32,18
2020-10-23,6228,128,81
2020-10-24,3257,94,96
2020-10-25,1965,40,26
2020-10-26,4863,92,113
2020-10-27,6318,108,129
2020-10-28,4691,100,87
2020-10-29,3356,67,55
2020-10-30,4850,77,83
2020-10-31,6890,133,131
2020-11-01,1856,50,27
2020-11-02,7507,165,119
2020-11-03,4284,79,51
2020-11-04,7126,142,95
2020-11-05,2444,40,32
2020-11-06,1510,21,14
2020-11-07,4898,106,104
2020-11-08,2228,38,38
2020-11-09,2365,52,33
2020-11-10,5866,170,107
2020-11-11,2381,67,41
2020-11-12,3546,90,71
2020-11-13,4294,111,67
2020-11-14,4059,71,62
2020-11-15,3462,69,58
2020-11-16,8490,250,141
2020-11-17,5528,129,73
2020-11-18,4947,97,93
2020-11-19,3510,80,43
2020-11-20,2340,54,43
2020-11-21,3138,86,25
2020-11-22,3407,75,48
2020-11-23,2614,55,30
2020-11-24,4685,124,45
2020-11-25,5003,176,62
2020-11-26,3720,94,53
2020-11-27,5489,139,89
2020-11-28,3014,41,30
2020-11-29,3098,61,37
2020-11-30,719,21,6
2020-12-01,2963,59,42
2020-12-02,2525,73,46
2020-12-03,4069,118,58
2020-12-04,3556,77,55
2020-12-05,2365,57,50
2020-12-06,1409,35,26
2020-12-07,5206,114,82
2020-12-08,6138,118,75
2020-12-09,2798,55,50
2020-12-10,4747,79,99
2020-12-11,2561,57,57
2020-12-12,3683,92,50
2020-12-13,1079,23,17
2020-12-14,1152,20,10
2020-12-15,4805,107,92
2020-12-16,4877,66,56
2020-12-17,4847,95,60
2020-12-18,5425,130,80
2020-12-19,4044,96,52
2020-12-20,4525,101,97
2020-12-21,6435,108,75
2020-12-22,9684,178,161
2020-12-23,6537,148,90
2020-12-24,5990,208,86
2020-12-25,1496,45,15
2020-12-26,1097,36,25
2020-12-27,2843,61,56
2020-12-28,2561,47,32
2020-12-29,4045,55,86
2020-12-30,3188,63,44
2020-12-31,4077,60,56
