,Date,Open,High,Low,Close,Adj Close,Volume,Daily_return,Trend,Trend_duration
0,2019-12-02,13554.290039,13554.290039,13443.099609,13448.259766,13448.259766,3285750000,,DOWN,1
1,2019-12-03,13363.660156,13373.879883,13280.040039,13366.089844,13366.089844,3671580000,-0.0061100784361514116,DOWN,2
2,2019-12-04,13408.080078,13484.410156,13408.080078,13457.969727,13457.969727,3702980000,0.006874103352016991,UP,1
3,2019-12-05,13466.730469,13491.209961,13429.299805,13482.299805,13482.299805,3360480000,0.00180785649645121,UP,2
4,2019-12-06,13515.480469,13612.05957,13515.480469,13588.290039,13588.290039,3483310000,0.007861435773790726,UP,3
5,2019-12-09,13570.540039,13600.139648,13555.070313,13555.070313,13555.070313,3400470000,-0.0024447318908159543,DOWN,1
6,2019-12-10,13551.0,13574.219727,13521.240234,13545.30957,13545.30957,3346310000,-0.0007200805878992966,DOWN,2
7,2019-12-11,13554.089844,13590.740234,13547.679688,13579.919922,13579.919922,3257650000,0.002555154005239979,UP,1
8,2019-12-12,13587.700195,13725.349609,13581.080078,13697.410156,13697.410156,4003200000,0.008651761915743128,UP,2
9,2019-12-13,13711.25,13773.129883,13655.450195,13697.339844,13697.339844,3757650000,-5.133233158649553e-06,DOWN,1
10,2019-12-16,13781.650391,13825.759766,13781.650391,13795.150391,13795.150391,4070200000,0.0071408425368699735,UP,1
11,2019-12-17,13795.150391,13813.30957,13787.719727,13795.349609,13795.349609,3842940000,1.4441161883427256e-05,UP,2
12,2019-12-18,13805.200195,13819.700195,13790.240234,13799.209961,13799.209961,4029950000,0.0002798299506292512,UP,3
13,2019-12-19,13801.730469,13838.990234,13798.780273,13831.669922,13831.669922,3784360000,0.0023523057545857817,UP,4
14,2019-12-20,13831.669922,13914.280273,13831.669922,13889.25,13889.25,6457480000,0.004162915853596072,UP,5
15,2019-12-23,13906.870117,13908.160156,13888.589844,13899.990234,13899.990234,3064530000,0.0007732767428048071,UP,6
16,2019-12-24,13902.959961,13902.959961,13885.55957,13895.139648,13895.139648,1296530000,-0.00034896326676081557,DOWN,1
17,2019-12-26,13911.160156,13941.55957,13895.200195,13940.419922,13940.419922,2164540000,0.0032587131289836258,UP,1
18,2019-12-27,13976.849609,13978.610352,13928.150391,13944.139648,13944.139648,2429150000,0.00026683026916085595,UP,2
19,2019-12-30,13951.259766,13952.780273,13864.570313,13876.150391,13876.150391,3021720000,-0.004875830185030683,DOWN,1
20,2019-12-31,13852.599609,13915.740234,13843.980469,13913.030273,13913.030273,2894760000,0.0026577891533894338,UP,1
21,2020-01-02,13913.030273,14003.389648,13913.030273,14002.490234,14002.490234,3459930000,0.006429940799712597,UP,2
22,2020-01-03,13877.480469,13950.740234,13870.740234,13917.049805,13917.049805,3484700000,-0.006101802434579695,DOWN,1
23,2020-01-06,13856.719727,13943.299805,13852.730469,13941.799805,13941.799805,3702460000,0.0017783941529840863,UP,1
24,2020-01-07,13911.19043,13923.509766,13880.530273,13898.450195,13898.450195,3435910000,-0.0031093266727624247,DOWN,1
25,2020-01-08,13897.009766,13986.69043,13896.589844,13934.44043,13934.44043,3726840000,0.002589514262025361,UP,1
26,2020-01-09,13974.070313,14004.419922,13960.169922,13997.650391,13997.650391,3641230000,0.004536239637144668,UP,2
27,2020-01-10,14018.120117,14021.650391,13941.519531,13957.969727,13957.969727,3214580000,-0.002834808906608588,DOWN,1
28,2020-01-13,13980.469727,14042.650391,13963.870117,14042.650391,14042.650391,3459390000,0.006066832473220929,UP,1
29,2020-01-14,14024.230469,14068.580078,14005.629883,14037.129883,14037.129883,3687620000,-0.00039312436372673787,DOWN,1
30,2020-01-15,14022.299805,14089.94043,14021.179688,14053.230469,14053.230469,3721490000,0.0011469998592446018,UP,1
31,2020-01-16,14103.530273,14142.30957,14094.879883,14141.780273,14141.780273,3540580000,0.006301028378872253,UP,2
32,2020-01-17,14168.139648,14183.259766,14156.400391,14183.200195,14183.200195,3726220000,0.0029289043670888137,UP,3
33,2020-01-21,14126.120117,14153.019531,14102.389648,14109.980469,14109.980469,4104840000,-0.005162426320810987,DOWN,1
34,2020-01-22,14147.889648,14168.200195,14104.05957,14110.240234,14110.240234,3623780000,1.841001839597567e-05,UP,1
35,2020-01-23,14064.280273,14109.589844,14003.280273,14102.040039,14102.040039,3766710000,-0.0005811520473083531,DOWN,1
36,2020-01-24,14120.019531,14120.019531,13920.570313,13978.469727,13978.469727,3708780000,-0.008762584112529725,DOWN,2
37,2020-01-27,13746.629883,13826.429688,13742.009766,13769.599609,13769.599609,3831050000,-0.014942273516288962,DOWN,3
38,2020-01-28,13812.650391,13913.589844,13798.339844,13877.610352,13877.610352,3531570000,0.007844145513817402,UP,1
39,2020-01-29,13912.790039,13922.44043,13843.790039,13843.80957,13843.80957,3600250000,-0.0024356341720697117,DOWN,1
40,2020-01-30,13745.200195,13869.639648,13699.80957,13861.919922,13861.919922,3790350000,0.0013081913550188062,UP,1
41,2020-01-31,13783.80957,13788.219727,13573.040039,13614.099609,13614.099609,4529700000,-0.0178777769886469,DOWN,1
42,2020-02-03,13655.889648,13765.330078,13655.889648,13677.919922,13677.919922,3760460000,0.004687810052293795,UP,1
43,2020-02-04,13826.099609,13920.629883,13826.099609,13862.839844,13862.839844,3996900000,0.013519593845740419,UP,2
44,2020-02-05,13964.0,14029.910156,13947.589844,14024.860352,14024.860352,4121480000,0.011687396653444315,UP,3
45,2020-02-06,14066.900391,14069.330078,14023.480469,14034.950195,14034.950195,3887250000,0.0007194255590974308,UP,4
46,2020-02-07,13987.509766,13987.509766,13912.040039,13931.929688,13931.929688,3733920000,-0.007340283048293261,DOWN,1
47,2020-02-10,13904.019531,13984.549805,13899.530273,13984.480469,13984.480469,3462730000,0.0037719671414409017,UP,1
48,2020-02-11,13984.480469,14100.269531,13984.480469,14054.080078,14054.080078,3762940000,0.004976917744944798,UP,2
49,2020-02-12,14117.830078,14148.240234,14108.519531,14136.980469,14136.980469,3930910000,0.005898670744716394,UP,3
50,2020-02-13,14069.25,14132.879883,14049.129883,14099.040039,14099.040039,3500890000,-0.002683771833963955,DOWN,1
51,2020-02-14,14104.769531,14110.19043,14046.599609,14097.339844,14097.339844,3419700000,-0.00012058941568338089,DOWN,2
