date,length,positive_word_count,negative_word_count
2020-09-16,31457,517,305
2020-09-17,26292,491,286
2020-09-18,25574,422,237
2020-09-19,13342,218,126
2020-09-20,5296,95,77
2020-09-21,28876,446,340
2020-09-22,30496,550,400
2020-09-23,31219,467,368
2020-09-24,30762,512,357
2020-09-25,13951,224,164
2020-09-26,19976,338,191
2020-09-27,14186,201,182
2020-09-28,22422,354,256
2020-09-29,31836,381,385
2020-09-30,34557,475,306
2020-10-01,29306,521,329
2020-10-02,31068,519,313
2020-10-03,26637,490,294
2020-10-04,13779,236,193
2020-10-05,35910,615,374
2020-10-06,30290,548,303
2020-10-07,35284,551,395
2020-10-08,33008,541,433
2020-10-09,24605,427,248
2020-10-10,25728,430,235
2020-10-11,7937,115,139
2020-10-12,23098,403,302
2020-10-13,55080,873,632
2020-10-14,36087,606,373
2020-10-15,28554,448,374
2020-10-16,22203,308,233
2020-10-17,14187,225,134
2020-10-18,14212,224,178
2020-10-19,35489,602,402
2020-10-20,28888,453,321
2020-10-21,20733,339,249
2020-10-22,29206,464,328
2020-10-23,25685,437,292
2020-10-24,11727,192,111
2020-10-25,8272,118,89
2020-10-26,27719,403,335
2020-10-27,28738,476,325
2020-10-28,31875,604,355
2020-10-29,24780,377,284
2020-10-30,34377,528,331
2020-10-31,18743,314,184
2020-11-01,18910,330,232
2020-11-02,34072,564,342
2020-11-03,29962,483,344
2020-11-04,32666,425,363
2020-11-05,29817,442,306
2020-11-06,19578,323,225
2020-11-07,21740,332,175
2020-11-08,6525,115,101
2020-11-09,36463,586,352
2020-11-10,26379,442,300
2020-11-11,30329,548,334
2020-11-12,26213,420,286
2020-11-13,17677,287,186
2020-11-14,23452,434,200
2020-11-15,10563,155,102
2020-11-16,37520,618,392
2020-11-17,32993,532,306
2020-11-18,25985,487,290
2020-11-19,30105,528,358
2020-11-20,29317,476,294
2020-11-21,15141,250,166
2020-11-22,7731,155,102
2020-11-23,42788,720,472
2020-11-24,29616,548,314
2020-11-25,34593,566,421
2020-11-26,7730,156,88
2020-11-27,22672,401,258
2020-11-28,22169,370,168
2020-11-29,8352,119,109
2020-11-30,28791,449,307
2020-12-01,24315,430,278
2020-12-02,23147,409,193
2020-12-03,24820,421,271
2020-12-04,34010,595,352
2020-12-05,27368,354,172
2020-12-06,8692,167,61
2020-12-07,36578,585,369
2020-12-08,29139,454,320
2020-12-09,22284,412,210
2020-12-10,33044,588,399
2020-12-11,28824,530,342
2020-12-12,24796,418,208
2020-12-13,8844,180,113
2020-12-14,30755,509,324
2020-12-15,41692,664,518
2020-12-16,26579,443,292
2020-12-17,29874,576,332
2020-12-18,15689,304,122
2020-12-19,19324,287,197
2020-12-20,12283,219,153
2020-12-21,31342,512,397
2020-12-22,29235,571,330
2020-12-23,17800,296,162
2020-12-24,13809,240,160
2020-12-25,9389,164,102
2020-12-26,20566,289,209
2020-12-27,9790,173,115
2020-12-28,21767,351,309
2020-12-29,30067,522,359
2020-12-30,30403,542,298
2020-12-31,23381,405,225
