date,length,positive_word_count,negative_word_count
2020-10-29,9982,135,111
2020-10-30,21721,319,175
2020-10-31,14336,245,133
2020-11-02,19732,305,186
2020-11-03,13411,217,148
2020-11-04,14060,184,145
2020-11-05,8806,114,73
2020-11-06,13886,236,141
2020-11-07,14024,194,105
2020-11-09,14418,216,104
2020-11-10,16478,277,162
2020-11-11,14028,233,124
2020-11-12,11550,185,113
2020-11-13,11063,182,111
2020-11-14,18858,332,166
2020-11-16,15815,257,152
2020-11-17,14806,209,127
2020-11-18,13827,252,132
2020-11-19,12380,218,158
2020-11-20,23145,362,218
2020-11-21,12968,205,154
2020-11-23,17863,274,186
2020-11-24,11286,212,99
2020-11-25,19442,322,202
2020-11-27,13591,230,119
2020-11-28,17361,310,133
2020-11-30,14397,214,132
2020-12-01,11393,193,106
2020-12-02,11718,225,108
2020-12-03,12663,198,111
2020-12-04,19769,310,192
2020-12-05,20199,226,123
2020-12-07,15949,265,151
2020-12-08,12635,161,120
2020-12-09,11752,233,100
2020-12-10,17203,301,210
2020-12-11,17467,317,163
2020-12-12,21053,350,165
2020-12-14,15795,238,129
2020-12-15,15556,244,162
2020-12-16,12681,221,134
2020-12-17,7551,124,65
2020-12-18,9857,187,72
2020-12-19,17473,253,175
2020-12-21,9801,140,109
2020-12-22,14145,251,167
2020-12-23,14058,223,125
2020-12-24,12146,211,151
2020-12-26,15979,226,169
2020-12-28,17375,274,253
2020-12-29,11217,204,140
2020-12-30,11480,158,102
2020-12-31,13850,234,125
